index,x,y,parte_id,fecha,hora,rango,clasificacion_parte,source,source_glosa,estado,lugar,grupo_delictual,delito,riesgo_situacional,descripcion_situacional,denuncia_formal,denuncia_informa,comuna,id_comuna,barrio,id_barrio
NA,-70.7310762999909,-33.3674112999405,9828322,2020-03-11,11:20:00,8:00-11:59,Denuncia,caso_policial,Caso policial,NA,Hospitales y clínicas,DMCS contra personas,Homicidio,NA,NA,NA,NA,Quilicura,13125,NA,NA
NA,-70.6534313999911,-33.4173438999404,9801476,2020-03-12,00:16:00,0:00-3:59,Denuncia,caso_policial,Caso policial,NA,Hospitales y clínicas,DMCS contra personas,Homicidio,NA,NA,NA,NA,Independencia,13108,NA,NA
NA,-70.6222592999912,-33.4782603999402,9818501,2020-03-13,07:15:00,4:00-7:59,Denuncia,caso_policial,Caso policial,NA,Vía pública,DMCS contra personas,Homicidio,NA,NA,NA,NA,San Joaquín,13129,NA,NA
NA,-70.7533876999907,-33.45672919994,9727940,2020-03-13,23:40:00,20:00-23:59,Denuncia,caso_policial,Caso policial,NA,Domicilios particulares,DMCS contra personas,Homicidio,NA,NA,NA,NA,Pudahuel,13124,NA,NA
NA,-70.678879099991,-33.4409837999402,9778865,2020-03-14,06:05:00,4:00-7:59,Denuncia,caso_policial,Caso policial,NA,Hospitales y clínicas,DMCS contra personas,Homicidio,NA,NA,NA,NA,Santiago,13101,NA,NA
NA,-70.7718381999907,-33.4869967999397,9723005,2020-03-14,09:35:00,8:00-11:59,Detención,caso_policial,Caso policial,NA,Domicilios particulares,DMCS contra personas,Homicidio,NA,NA,NA,NA,Maipú,13119,NA,NA
NA,-70.6496954999911,-33.4707727999402,9779448,2020-03-18,00:05:00,0:00-3:59,Denuncia,caso_policial,Caso policial,NA,Vía pública,DMCS contra personas,Homicidio,NA,NA,NA,NA,Santiago,13101,NA,NA
NA,-70.7113964999909,-33.4385448999402,9806707,2020-03-19,05:00:00,4:00-7:59,Denuncia,caso_policial,Caso policial,NA,Vía pública,DMCS contra personas,Homicidio,NA,NA,NA,NA,Lo Prado,13117,NA,NA
NA,-70.6610264499911,-33.3727494899407,9822785,2020-03-22,15:00:00,12:00-15:59,Denuncia,caso_policial,Caso policial,NA,Vía pública,DMCS contra personas,Homicidio,NA,NA,NA,NA,Huechuraba,13107,NA,NA
NA,-70.6069223799912,-33.5553573599398,9750947,2020-03-24,09:20:00,8:00-11:59,Detención,caso_policial,Caso policial,NA,Constructoras,DMCS contra personas,Homicidio,NA,NA,NA,NA,La Florida,13110,NA,NA
NA,-70.6901475999909,-33.5023388999399,9767991,2020-03-24,12:45:00,12:00-15:59,Denuncia,caso_policial,Caso policial,NA,Vía pública,DMCS contra personas,Homicidio,NA,NA,NA,NA,Pedro Aguirre Cerda,13121,NA,NA
NA,-70.6258273999913,-33.3762194999407,9822855,2020-03-24,14:46:00,12:00-15:59,Denuncia,caso_policial,Caso policial,NA,Vía pública,DMCS contra personas,Homicidio,NA,NA,NA,NA,Huechuraba,13107,NA,NA
NA,-70.7310762999909,-33.3674112999405,9828955,2020-03-28,23:15:00,20:00-23:59,Denuncia,caso_policial,Caso policial,NA,Hospitales y clínicas,DMCS contra personas,Homicidio,NA,NA,NA,NA,Quilicura,13125,NA,NA
NA,-70.6534313999911,-33.4173438999404,9801724,2020-03-29,16:30:00,16:00-19:59,Denuncia,caso_policial,Caso policial,NA,Hospitales y clínicas,DMCS contra personas,Homicidio,NA,NA,NA,NA,Independencia,13108,NA,NA
NA,-70.6014343999913,-33.4701243999403,9817394,2020-03-29,17:00:00,16:00-19:59,Detención,caso_policial,Caso policial,NA,Domicilios particulares,DMCS contra personas,Homicidio,NA,NA,NA,NA,Ñuñoa,13120,NA,NA
NA,-70.7538548000006,-33.462294899998,11203903,2020-04-01,08:00:00,8:00-11:59,Denuncia,caso_policial,Caso policial,NA,Vía pública,DMCS contra personas,Homicidio,NA,NA,NA,NA,Pudahuel,13124,NA,NA
NA,-70.6237814000004,-33.5491812999984,11282594,2020-04-01,20:05:00,20:00-23:59,Detención,caso_policial,Caso policial,NA,Domicilios particulares,DMCS contra personas,Homicidio,NA,NA,NA,NA,La Granja,13111,NA,NA
NA,-70.6451665000004,-33.4087379999984,11207603,2020-04-03,11:50:00,8:00-11:59,Denuncia,caso_policial,Caso policial,NA,Vía pública,DMCS contra personas,Homicidio,NA,NA,NA,NA,Recoleta,13127,NA,NA
