index,x,y,parte_id,fecha,hora,rango,clasificacion_parte,source,source_glosa,estado,lugar,grupo_delictual,delito,riesgo_situacional,descripcion_situacional,denuncia_formal,denuncia_informa,comuna,id_comuna,barrio,id_barrio
NA,-70.7230847500006,-33.4209045009981,3075928,2013-09-08,06:30:00,4:00-7:59,Denuncia,caso_policial,Caso policial,NA,Vía pública,DMCS contra personas,Homicidio,NA,NA,NA,NA,Cerro Navia,13103,NA,NA
NA,-70.5899653034003,-33.5110386556985,940902,2013-09-11,19:45:00,16:00-19:59,Denuncia,caso_policial,Caso policial,NA,Vía pública,DMCS contra personas,Homicidio,NA,NA,NA,NA,La Florida,13110,NA,NA
NA,-70.6114651200004,-33.5338275999984,2429052,2013-09-13,14:45:00,12:00-15:59,Detención,caso_policial,Caso policial,NA,Vía pública,DMCS contra personas,Homicidio,NA,NA,NA,NA,La Granja,13111,NA,NA
NA,-70.6247800000004,-33.4860399999984,3090766,2013-09-14,04:30:00,4:00-7:59,Denuncia,caso_policial,Caso policial,NA,Otros,DMCS contra personas,Homicidio,NA,NA,NA,NA,San Joaquín,13129,NA,NA
NA,-70.6532340600004,-33.4206622899983,802540,2013-09-15,01:00:00,0:00-3:59,Denuncia,caso_policial,Caso policial,NA,Hospitales y clínicas,DMCS contra personas,Homicidio,NA,NA,NA,NA,Independencia,13108,NA,NA
NA,-70.6538828977004,-33.5775335896983,941994,2013-09-19,00:30:00,0:00-3:59,Denuncia,caso_policial,Caso policial,NA,Vía pública,DMCS contra personas,Homicidio,NA,NA,NA,NA,La Pintana,13112,NA,NA
NA,-70.6566742700004,-33.5040261599983,2435758,2013-09-19,07:50:00,4:00-7:59,Detención,caso_policial,Caso policial,NA,Vía pública,DMCS contra personas,Homicidio,NA,NA,NA,NA,San Miguel,13130,NA,NA
NA,-70.6352348380004,-33.3622374359984,2427725,2013-09-19,10:05:00,8:00-11:59,Detención,caso_policial,Caso policial,NA,Vía pública,DMCS contra personas,Homicidio,NA,NA,NA,NA,Huechuraba,13107,NA,NA
NA,-70.7450054009006,-33.450827551798,470540,2013-09-19,21:15:00,20:00-23:59,Denuncia,caso_policial,Caso policial,NA,Vía pública,DMCS contra personas,Homicidio,NA,NA,NA,NA,Pudahuel,13124,NA,NA
NA,-70.6322292700004,-33.4732250399984,383195,2013-09-21,21:00:00,20:00-23:59,Detención,caso_policial,Caso policial,NA,Domicilios particulares,DMCS contra personas,Homicidio,NA,NA,NA,NA,Santiago,13101,NA,NA
